epoch,train_loss,val_loss,learning_rate
1,54180.34763671875,36240.4999375,0.002
2,32165.60259375,26755.2720625,0.002
3,24433.18954296875,23536.92003125,0.002
4,21924.2098828125,20395.6918203125,0.002
5,19333.347328125,18763.726296875,0.002
6,17966.66959765625,17786.985640625,0.002
7,16960.627689453126,17437.5193203125,0.002
8,16263.578736328125,17529.3359921875,0.002
9,15739.3948515625,16406.89534375,0.002
10,15219.5419765625,15528.6532421875,0.002
11,14763.37767578125,15653.676453125,0.002
12,14471.456564453125,14868.1629453125,0.002
13,14305.18144921875,15280.159703125,0.002
14,13865.90086328125,14391.816640625,0.002
15,14427.330935546875,14881.202734375,0.002
16,13403.12408203125,14200.615625,0.002
17,13129.729833984375,14359.11809375,0.002
18,12987.131201171875,14092.3924140625,0.002
19,12827.671826171874,13648.434921875,0.002
20,12751.02675,13790.280890625,0.002
21,12681.226125,13549.187140625,0.002
22,12485.779849609375,13631.545921875,0.002
23,12332.204216796876,13820.6310390625,0.002
24,12233.20323828125,13607.9688046875,0.002
25,12149.31707421875,13193.1646328125,0.002
26,12088.713203125,13180.031453125,0.002
27,11942.744919921875,13295.7868671875,0.002
28,11808.260314453126,13180.8552578125,0.002
29,11694.43771875,12972.201609375,0.002
30,11601.80130078125,13004.50025,0.002
31,11590.272005859375,13170.39865625,0.002
32,11650.6686640625,12870.1266796875,0.002
33,11525.174255859374,12992.541734375,0.002
34,11429.6257890625,13158.6409765625,0.002
35,11401.7652421875,13118.38309375,0.002
36,11395.9264921875,12954.0250625,0.002
37,11353.221451171876,12618.4584296875,0.002
38,11185.63349609375,12554.0291875,0.002
39,11168.488462890626,12674.6195390625,0.002
40,11122.905880859375,12752.762453125,0.002
41,11086.546931640625,12632.291,0.002
42,10975.589103515626,12506.53328125,0.002
43,10956.478927734375,12460.73834375,0.002
44,10929.547958984374,12454.9347109375,0.002
45,11420.529341796875,12683.81896875,0.002
46,10994.703732421875,12337.611484375,0.002
47,10720.652658203126,12295.0596953125,0.002
48,10630.55390625,12395.4453515625,0.002
49,10627.87014453125,12390.8462578125,0.002
50,10616.804888671875,12308.58075,0.002
51,10641.012103515624,12416.5680390625,0.002
52,10541.55660546875,12429.9908203125,0.002
53,10745.640484375,12331.8418359375,0.002
54,10614.023607421876,12406.3510078125,0.002
55,10502.259384765624,12271.8139453125,0.002
56,10491.02843359375,12238.0784140625,0.002
57,10512.29740625,12394.462125,0.002
58,10539.6098125,12485.5995703125,0.002
59,10490.597177734375,12494.483625,0.002
